"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"POL32" "MATCH" "1" "POL32" "S. cerevisiae" "POLymerase" "1053" "YJR043C" "S000003804" "ORF"
"POL3" "MATCH" "1" "POL3" "S. cerevisiae" "POLymerase" "3294" "YDL102W" "S000002260" "ORF"
"HNT3" "MATCH" "1" "HNT3" "S. cerevisiae" "Histidine triad NucleoTide-binding" "654" "YOR258W" "S000005784" "ORF"
"POL30" "MATCH" "1" "POL30" "S. cerevisiae" "POLymerase" "777" "YBR088C" "S000000292" "ORF"
"POL31" "MATCH" "1" "POL31" "S. cerevisiae" "POLymerase" "1464" "YJR006W" "S000003766" "ORF"
"NHP6A" "MATCH" "1" "NHP6A" "S. cerevisiae" "Non-Histone Protein" "282" "YPR052C" "S000006256" "ORF"
"DIN7" "MATCH" "1" "DIN7" "S. cerevisiae" "DNA Damage INducible" "1293" "YDR263C" "S000002671" "ORF"
"EXO1" "MATCH" "1" "EXO1" "S. cerevisiae" "EXOnuclease" "2109" "YOR033C" "S000005559" "ORF"
"CDC27" "MATCH" "1" "CDC27" "S. cerevisiae" "Cell Division Cycle" "2277" "YBL084C" "S000000180" "ORF"
"PMS1" "MATCH" "1" "PMS1" "S. cerevisiae" "PostMeiotic Segregation" "2622" "YNL082W" "S000005026" "ORF"
"RFC5" "MATCH" "1" "RFC5" "S. cerevisiae" "Replication Factor C" "1065" "YBR087W" "S000000291" "ORF"
"RFC3" "MATCH" "1" "RFC3" "S. cerevisiae" "Replication Factor C" "1023" "YNL290W" "S000005234" "ORF"
"RFA1" "MATCH" "1" "RFA1" "S. cerevisiae" "Replication Factor A" "1866" "YAR007C" "S000000065" "ORF"
"RFA2" "MATCH" "1" "RFA2" "S. cerevisiae" "Replication Factor A" "930" "YNL312W" "S000005256" "ORF"
"RFC4" "MATCH" "1" "RFC4" "S. cerevisiae" "Replication Factor C" "972" "YOL094C" "S000005454" "ORF"
"RFC1" "MATCH" "1" "RFC1" "S. cerevisiae" "Replication Factor C" "2586" "YOR217W" "S000005743" "ORF"
"RFC2" "MATCH" "1" "RFC2" "S. cerevisiae" "Replication Factor C" "1062" "YJR068W" "S000003829" "ORF"
"CDC9" "MATCH" "1" "CDC9" "S. cerevisiae" "Cell Division Cycle" "2268" "YDL164C" "S000002323" "ORF"
"SSB1" "MATCH" "1" "SSB1" "S. cerevisiae" "Stress-Seventy subfamily B" "1842" "YDL229W" "S000002388" "ORF"
"CDC6" "MATCH" "1" "CDC6" "S. cerevisiae" "Cell Division Cycle" "1542" "YJL194W" "S000003730" "ORF"
"MSH1" "MATCH" "1" "MSH1" "S. cerevisiae" "MutS Homolog" "2880" "YHR120W" "S000001162" "ORF"
"MLH1" "MATCH" "1" "MLH1" "S. cerevisiae" "MutL Homolog" "2310" "YMR167W" "S000004777" "ORF"
"MLH2" "MATCH" "1" "MLH2" "S. cerevisiae" "MutL Homolog" "2088" "YLR035C" "S000004025" "ORF"
"MLH3" "MATCH" "1" "MLH3" "S. cerevisiae" "MutL Homolog" "2148" "YPL164C" "S000006085" "ORF"
"HSM3" "MATCH" "1" "HSM3" "S. cerevisiae" "enHanced Spontaneous Mutability" "1443" "YBR272C" "S000000476" "ORF"
"CDC1" "MATCH" "1" "CDC1" "S. cerevisiae" "Cell Division Cycle" "1476" "YDR182W" "S000002590" "ORF"
"MSH6" "MATCH" "1" "MSH6" "S. cerevisiae" "MutS Homolog" "3729" "YDR097C" "S000002504" "ORF"
"MSH2" "MATCH" "1" "MSH2" "S. cerevisiae" "MutS Homolog" "2895" "YOL090W" "S000005450" "ORF"
"RAD34" "MATCH" "1" "RAD34" "S. cerevisiae" "Homologous to RAD4" "2079" "YDR314C" "S000002722" "ORF"
"DPB11" "MATCH" "1" "DPB11" "S. cerevisiae" "DNA Polymerase B (II)" "2295" "YJL090C" "S000003626" "ORF"
"MSH3" "MATCH" "1" "MSH3" "S. cerevisiae" "MutS Homolog" "3057" "YCR092C" "S000000688" "ORF"
"SSB2" "MATCH" "1" "SSB2" "S. cerevisiae" "Stress-Seventy subfamily B" "1842" "YNL209W" "S000005153" "ORF"
"MSH4" "MATCH" "1" "MSH4" "S. cerevisiae" "MutS Homolog" "2637" "YFL003C" "S000001891" "ORF"
"MSH5" "MATCH" "1" "MSH5" "S. cerevisiae" "MutS Homolog" "2706" "YDL154W" "S000002313" "ORF"
"RAD4" "MATCH" "1" "RAD4" "S. cerevisiae" "RADiation sensitive" "2265" "YER162C" "S000000964" "ORF"
"RNH201" "MATCH" "1" "RNH201" "S. cerevisiae" "RNase H" "924" "YNL072W" "S000005016" "ORF"
"POL30" "OTHER" "1" "POL30" "S. cerevisiae" "POLymerase" "777" "YBR088C" "S000000292" "ORF"
"RNH201" "OTHER" "1" "RNH201" "S. cerevisiae" "RNase H" "924" "YNL072W" "S000005016" "ORF"
"MSH6" "OTHER" "1" "MSH6" "S. cerevisiae" "MutS Homolog" "3729" "YDR097C" "S000002504" "ORF"
"EXO1" "OTHER" "1" "EXO1" "S. cerevisiae" "EXOnuclease" "2109" "YOR033C" "S000005559" "ORF"
"MLH3" "OTHER" "1" "MLH3" "S. cerevisiae" "MutL Homolog" "2148" "YPL164C" "S000006085" "ORF"
"CDC1" "OTHER" "1" "CDC1" "S. cerevisiae" "Cell Division Cycle" "1476" "YDR182W" "S000002590" "ORF"
"MSH5" "OTHER" "1" "MSH5" "S. cerevisiae" "MutS Homolog" "2706" "YDL154W" "S000002313" "ORF"
"MSH4" "OTHER" "1" "MSH4" "S. cerevisiae" "MutS Homolog" "2637" "YFL003C" "S000001891" "ORF"
"DPB11" "OTHER" "1" "DPB11" "S. cerevisiae" "DNA Polymerase B (II)" "2295" "YJL090C" "S000003626" "ORF"
"LIG1" "OTHER" "1" "TRL1" "S. cerevisiae" "tRNA Ligase" "2484" "YJL087C" "S000003623" "ORF"
"RFC1" "OTHER" "1" "RFC1" "S. cerevisiae" "Replication Factor C" "2586" "YOR217W" "S000005743" "ORF"
"MLH1" "OTHER" "1" "MLH1" "S. cerevisiae" "MutL Homolog" "2310" "YMR167W" "S000004777" "ORF"
"SSB2" "OTHER" "1" "SSB2" "S. cerevisiae" "Stress-Seventy subfamily B" "1842" "YNL209W" "S000005153" "ORF"
"MSH2" "OTHER" "1" "MSH2" "S. cerevisiae" "MutS Homolog" "2895" "YOL090W" "S000005450" "ORF"
"CDC27" "OTHER" "1" "CDC27" "S. cerevisiae" "Cell Division Cycle" "2277" "YBL084C" "S000000180" "ORF"
"CDC9" "OTHER" "1" "CDC9" "S. cerevisiae" "Cell Division Cycle" "2268" "YDL164C" "S000002323" "ORF"
"POL32" "OTHER" "1" "POL32" "S. cerevisiae" "POLymerase" "1053" "YJR043C" "S000003804" "ORF"
"POL3" "OTHER" "1" "POL3" "S. cerevisiae" "POLymerase" "3294" "YDL102W" "S000002260" "ORF"
"RFC2" "OTHER" "1" "RFC2" "S. cerevisiae" "Replication Factor C" "1062" "YJR068W" "S000003829" "ORF"
"POL32" "OTHER" "1" "POL32" "S. cerevisiae" "POLymerase" "1053" "YJR043C" "S000003804" "ORF"
"MLH2" "OTHER" "1" "MLH2" "S. cerevisiae" "MutL Homolog" "2088" "YLR035C" "S000004025" "ORF"
"HSM3" "OTHER" "1" "HSM3" "S. cerevisiae" "enHanced Spontaneous Mutability" "1443" "YBR272C" "S000000476" "ORF"
"PMS1" "OTHER" "1" "PMS1" "S. cerevisiae" "PostMeiotic Segregation" "2622" "YNL082W" "S000005026" "ORF"
"CDC6" "OTHER" "1" "CDC6" "S. cerevisiae" "Cell Division Cycle" "1542" "YJL194W" "S000003730" "ORF"
"RFC2" "OTHER" "1" "RFC2" "S. cerevisiae" "Replication Factor C" "1062" "YJR068W" "S000003829" "ORF"
"RAD34" "OTHER" "1" "RAD34" "S. cerevisiae" "Homologous to RAD4" "2079" "YDR314C" "S000002722" "ORF"
"DIN7" "OTHER" "1" "DIN7" "S. cerevisiae" "DNA Damage INducible" "1293" "YDR263C" "S000002671" "ORF"
"POL31" "OTHER" "1" "POL31" "S. cerevisiae" "POLymerase" "1464" "YJR006W" "S000003766" "ORF"
"MSH5" "OTHER" "1" "MSH5" "S. cerevisiae" "MutS Homolog" "2706" "YDL154W" "S000002313" "ORF"
"HNT3" "OTHER" "1" "HNT3" "S. cerevisiae" "Histidine triad NucleoTide-binding" "654" "YOR258W" "S000005784" "ORF"
"SSB2" "OTHER" "1" "SSB2" "S. cerevisiae" "Stress-Seventy subfamily B" "1842" "YNL209W" "S000005153" "ORF"
"RFA2" "OTHER" "1" "RFA2" "S. cerevisiae" "Replication Factor A" "930" "YNL312W" "S000005256" "ORF"
"RAD4" "OTHER" "1" "RAD4" "S. cerevisiae" "RADiation sensitive" "2265" "YER162C" "S000000964" "ORF"
"MSH3" "OTHER" "1" "MSH3" "S. cerevisiae" "MutS Homolog" "3057" "YCR092C" "S000000688" "ORF"
"RFA1" "OTHER" "1" "RFA1" "S. cerevisiae" "Replication Factor A" "1866" "YAR007C" "S000000065" "ORF"
"RFC4" "OTHER" "1" "RFC4" "S. cerevisiae" "Replication Factor C" "972" "YOL094C" "S000005454" "ORF"
"CDC9" "OTHER" "1" "CDC9" "S. cerevisiae" "Cell Division Cycle" "2268" "YDL164C" "S000002323" "ORF"
"EXO1" "OTHER" "1" "EXO1" "S. cerevisiae" "EXOnuclease" "2109" "YOR033C" "S000005559" "ORF"
