GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
snap_masked-NODE_100_length_377_cov_38.469_ID_9841-processed-gene-0.1-mRNA-1,0.622289717197418,-0.238583713769913,0.229462114352194,0.176704071895792,0.218482559546828,1.1344321668148,-0.660583232374014,0.0547785320218242
augustus_masked-NODE_103_length_356_cov_1.17472_ID_8264-processed-gene-0.1-mRNA-1,1.22498166561127,0.0743624195456505,0.296265679519928,0.112968774329904,0.648139563202858,1.83708838423093,-0.188331468670478,0.264130050665409
snap_masked-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.87-mRNA-1,0.464941173791885,-0.407883256673813,0.266611231813693,0.269021367419174,0.0973711264630159,1.11311893860499,-1.01156980631307,0.0465415675452532
augustus_masked-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.15-mRNA-1,0.73787522315979,-0.146755397319794,0.18373458614381,0.117007996250489,0.385597288111846,1.11317779918512,-0.413866047606855,0.0465645362995128
augustus_masked-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.0-mRNA-1,0.286687821149826,-0.580444872379303,0.116165853618811,0.187722739400015,0.100660099399587,0.555871042609214,-0.997142645091391,-0.25502600437407
genemark-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.36-mRNA-1,0.59689325094223,-0.232928991317749,0.117984319758361,0.0887881283641703,0.380471283942461,0.828552064796289,-0.419678116282349,-0.0816801970800249
genemark-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.37-mRNA-1,1.21581161022186,0.0704768896102905,0.304516047141791,0.114236784899273,0.663372926910718,1.8371929248174,-0.178242256562964,0.264154763480541
augustus_masked-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.16-mRNA-1,1.07533979415894,0.0245435629040003,0.189805273780145,0.0790215517338564,0.715724739432335,1.45712512930234,-0.145253971659313,0.163496848014029
maker-NODE_10_length_341731_cov_26.5013_ID_5740-augustus-gene-0.112-mRNA-1,0.447646260261536,-0.360857486724854,0.101402091850645,0.103384127857077,0.256875926007827,0.652661150693893,-0.590276602333222,-0.185312252881302
augustus_masked-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.17-mRNA-1,1.32574033737183,0.111569009721279,0.290879800321659,0.0988013885353298,0.78641071220239,1.9244742333889,-0.104350582217043,0.284312087871346
augustus_masked-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-0.18-mRNA-1,0.987057089805603,-0.0126097789034247,0.174226379655123,0.078535737716431,0.659296740094821,1.34080595672131,-0.180919087460927,0.1273659298472
