GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
genemark-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.8-mRNA-1,0.653729557991028,-0.189465165138245,0.0962163486190342,0.0658176506477722,0.465422874192397,0.846351059774558,-0.332152276989792,-0.0724494594607851
maker-NODE_100_length_29638_cov_59.8999_ID_199-snap-gene-0.11-mRNA-1,1.15133142471313,0.0533726029098034,0.214132318805316,0.0836802342724381,0.737708874046803,1.58192324638367,-0.132115002928439,0.199185408061349
snap_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.15-mRNA-1,0.59419858455658,-0.254175335168839,0.210251549381099,0.159770355294486,0.250706480940183,1.05783957540989,-0.600834472774371,0.0244198106112082
snap_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.20-mRNA-1,0.648774325847626,-0.216188862919807,0.228761491799534,0.160878987230672,0.272467617690563,1.15241836508115,-0.564685108247156,0.0616101645561691
maker-NODE_100_length_29638_cov_59.8999_ID_199-snap-gene-0.14-mRNA-1,0.593195974826813,-0.248066857457161,0.180628654515608,0.139537814147177,0.276404634366433,0.987424712379773,-0.558454691301834,-0.0054960079395849
snap_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.21-mRNA-1,0.64364629983902,-0.218553125858307,0.224751618167326,0.15682532368395,0.279578549414873,1.1527928173542,-0.553496238234305,0.0617512366171873
maker-NODE_100_length_29638_cov_59.8999_ID_199-snap-gene-0.12-mRNA-1,0.769036054611206,-0.142163634300232,0.272474910692249,0.15938865659209,0.332629206279914,1.38152487874031,-0.478039620912351,0.140358709612525
snap_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.22-mRNA-1,0.639743208885193,-0.219795539975166,0.217058556516212,0.152566416946037,0.291160476952791,1.11777481039365,-0.535867577912806,0.0483543103525815
genemark-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.10-mRNA-1,0.792241930961609,-0.109745115041733,0.154442326279645,0.0877515062691259,0.501542251308759,1.10286453664303,-0.299692518216454,0.0425221711359293
snap_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.24-mRNA-1,1.32381129264832,0.108836688101292,0.313968189749679,0.108684377451589,0.731217262148857,1.96032891074816,-0.135953564656355,0.292328944064875
